TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
1005616.000000,0.007,-0.036,1.005,0.11,-0.09,-0.13,-3.71,-29.13,-20.54,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005626.000000,0.007,-0.036,1.010,-0.01,-0.03,0.10,-3.79,-29.21,-20.25,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005636.000000,0.002,-0.034,1.010,0.03,-0.11,-0.03,-4.43,-28.75,-20.33,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005646.000000,0.008,-0.038,1.007,-0.03,0.01,0.08,-4.67,-28.39,-20.33,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005656.000000,0.010,-0.035,1.003,0.07,-0.01,-0.03,-4.35,-28.63,-20.29,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005666.000000,0.007,-0.036,1.007,-0.09,0.09,0.08,-4.48,-28.48,-20.21,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005676.000000,0.004,-0.036,1.005,0.01,-0.07,0.03,-4.17,-28.71,-20.17,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005686.000000,0.008,-0.035,1.009,-0.07,0.01,0.03,-3.79,-28.93,-20.17,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005696.000000,0.010,-0.035,1.007,-0.07,-0.05,-0.05,-3.67,-28.93,-20.13,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005706.000000,0.004,-0.035,1.010,0.13,0.14,-0.07,-4.02,-28.98,-20.04,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005716.000000,0.008,-0.036,1.010,-0.01,0.05,-0.07,-4.35,-29.08,-20.38,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005726.000000,0.010,-0.036,1.007,0.03,0.12,0.08,-4.13,-29.13,-20.04,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005736.000000,0.006,-0.039,1.011,-0.01,0.03,-0.13,-2.98,-29.08,-20.21,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
1005746.000000,0.010,-0.039,1.009,0.05,0.20,-0.03,-3.10,-28.58,-19.92,-0.44,-2.10,67.07,0.833,-0.013,-0.013,0.552
