TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
55903.000000,0.990,-0.012,-0.172,0.03,0.04,0.04,-41.13,0.27,-25.54,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55913.000000,0.989,-0.015,-0.172,0.07,0.08,-0.04,-41.75,0.63,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55923.000000,0.988,-0.013,-0.172,0.07,0.08,-0.10,-41.48,0.73,-25.25,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55933.000000,0.989,-0.013,-0.171,0.03,0.06,0.08,-41.25,0.77,-25.50,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55943.000000,0.988,-0.013,-0.175,0.09,0.08,-0.06,-41.52,0.58,-25.25,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55953.000000,0.989,-0.013,-0.175,0.01,0.12,0.06,-41.35,0.63,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55963.000000,0.990,-0.013,-0.172,0.01,-0.04,0.02,-41.67,0.73,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55973.000000,0.988,-0.015,-0.174,-0.07,0.08,-0.02,-41.43,0.54,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55983.000000,0.989,-0.011,-0.172,0.05,0.08,-0.04,-41.35,0.39,-25.46,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
55993.000000,0.986,-0.016,-0.174,-0.01,0.02,0.02,-41.48,0.27,-25.63,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56003.000000,0.992,-0.012,-0.171,0.11,0.14,-0.04,-41.98,1.27,-25.42,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56013.000000,0.990,-0.013,-0.176,-0.03,0.06,0.06,-41.93,0.50,-25.42,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56023.000000,0.989,-0.012,-0.175,0.11,0.12,-0.02,-41.93,0.73,-25.46,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56033.000000,0.989,-0.015,-0.172,-0.05,-0.06,-0.04,-42.13,1.08,-25.25,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56043.000000,0.985,-0.012,-0.170,-0.01,0.04,-0.04,-41.89,0.85,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56053.000000,0.990,-0.012,-0.174,0.15,0.14,-0.04,-41.89,0.39,-25.33,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56063.000000,0.989,-0.015,-0.174,0.05,0.02,-0.02,-41.89,0.43,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56073.000000,0.986,-0.013,-0.174,-0.05,0.00,-0.00,-41.98,0.96,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56083.000000,0.990,-0.017,-0.174,0.09,0.14,-0.08,-41.67,0.54,-24.92,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56093.000000,0.986,-0.015,-0.174,0.05,0.02,-0.02,-41.89,0.67,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56103.000000,0.990,-0.017,-0.171,0.01,0.04,-0.00,-42.35,-0.17,-25.46,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56113.000000,0.988,-0.013,-0.171,0.01,0.10,-0.08,-42.17,0.31,-24.92,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56123.000000,0.986,-0.015,-0.172,0.03,0.16,0.04,-42.39,-0.21,-25.00,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56133.000000,0.990,-0.013,-0.175,0.01,0.18,-0.08,-42.27,0.00,-24.96,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56143.000000,0.988,-0.016,-0.172,0.01,0.00,-0.08,-42.31,0.00,-24.96,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
