TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
4878578.000000,0.011,-0.035,1.010,0.05,0.07,-0.05,-21.71,-17.00,-17.33,-0.75,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878588.000000,0.011,-0.035,1.009,-0.01,-0.03,0.01,-21.52,-17.23,-17.75,-0.75,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878598.000000,0.014,-0.034,1.005,-0.01,-0.03,-0.05,-21.52,-17.23,-17.75,-0.75,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878608.000000,0.014,-0.032,1.007,0.01,-0.07,0.07,-21.52,-17.23,-17.75,-0.75,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878618.000000,0.012,-0.035,1.006,-0.01,0.03,-0.09,-21.52,-17.23,-17.75,-0.75,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878628.000000,0.011,-0.040,1.007,0.01,0.05,-0.01,-21.52,-17.23,-17.75,-0.75,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878638.000000,0.014,-0.035,1.010,-0.05,0.12,0.03,-21.60,-17.73,-17.38,-0.75,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878648.000000,0.012,-0.035,1.007,0.03,0.03,-0.07,-22.17,-17.33,-17.50,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878658.000000,0.012,-0.035,1.007,0.01,-0.03,0.03,-22.25,-17.96,-17.63,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878668.000000,0.014,-0.035,1.009,-0.07,0.12,0.01,-22.25,-17.60,-17.63,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878678.000000,0.012,-0.035,1.007,-0.05,-0.13,-0.01,-22.25,-17.50,-17.33,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878688.000000,0.014,-0.036,1.009,0.03,-0.05,-0.09,-21.42,-18.29,-17.54,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878698.000000,0.011,-0.034,1.005,-0.01,0.09,0.03,-21.33,-18.10,-17.46,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878708.000000,0.012,-0.036,1.009,-0.01,0.05,-0.01,-21.38,-17.92,-17.54,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878718.000000,0.014,-0.035,1.006,0.03,0.01,0.03,-21.38,-18.06,-17.79,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878728.000000,0.014,-0.036,1.006,-0.05,-0.07,-0.07,-21.29,-17.56,-17.58,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878738.000000,0.018,-0.032,1.006,0.03,-0.01,-0.01,-21.71,-17.73,-17.54,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878748.000000,0.014,-0.036,1.009,-0.01,-0.05,0.03,-21.98,-17.46,-17.54,-0.74,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878758.000000,0.011,-0.035,1.009,-0.07,0.01,0.01,-21.83,-17.64,-17.54,-0.75,-2.01,76.33,0.786,-0.010,-0.016,0.618
4878768.000000,0.015,-0.036,1.011,-0.01,-0.01,0.01,-21.71,-17.33,-17.58,-0.75,-2.02,76.33,0.786,-0.010,-0.016,0.618
4878778.000000,0.012,-0.036,1.011,0.07,-0.01,-0.05,-22.25,-17.33,-17.58,-0.75,-2.02,76.33,0.786,-0.010,-0.016,0.618
4878788.000000,0.012,-0.035,1.010,-0.03,0.09,0.03,-22.06,-17.00,-17.63,-0.74,-2.02,76.33,0.786,-0.010,-0.016,0.618
4878798.000000,0.012,-0.036,1.012,-0.03,0.05,0.01,-22.29,-16.96,-17.50,-0.74,-2.02,76.33,0.786,-0.010,-0.016,0.618
4878808.000000,0.011,-0.036,1.010,0.03,0.05,-0.03,-22.39,-17.10,-17.63,-0.74,-2.02,76.33,0.786,-0.010,-0.016,0.618
4878818.000000,0.011,-0.032,1.010,-0.07,-0.03,0.01,-22.52,-17.46,-17.50,-0.74,-2.02,76.33,0.786,-0.010,-0.016,0.618
4878828.000000,0.012,-0.036,1.010,-0.01,0.07,0.01,-22.63,-17.33,-17.46,-0.74,-2.02,76.33,0.786,-0.010,-0.016,0.618
