TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
8694271.000000,0.004,-0.032,1.009,0.05,0.14,-0.00,-24.04,29.71,-22.63,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694281.000000,0.002,-0.034,1.007,-0.07,0.08,-0.04,-24.88,30.08,-22.25,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694292.000000,0.002,-0.034,1.013,-0.05,-0.02,-0.04,-24.13,29.81,-22.08,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694301.000000,0.003,-0.035,1.013,0.03,0.16,-0.02,-24.08,30.23,-22.13,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694311.000000,0.003,-0.035,1.006,-0.05,0.14,0.04,-24.18,29.77,-22.54,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694321.000000,0.002,-0.035,1.007,-0.05,0.10,0.02,-24.18,29.77,-22.54,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694331.000000,0.001,-0.035,1.009,-0.05,0.16,-0.00,-24.23,29.89,-22.17,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694341.000000,0.003,-0.031,1.009,-0.03,0.18,-0.08,-24.13,30.04,-22.63,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694352.000000,0.003,-0.035,1.009,-0.13,0.06,-0.06,-24.18,29.81,-22.54,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694362.000000,0.002,-0.034,1.009,0.07,0.04,-0.02,-24.18,29.81,-22.54,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
8694372.000000,0.002,-0.035,1.006,-0.09,0.14,0.06,-24.18,29.81,-22.54,-0.11,-1.92,-81.89,0.755,-0.013,0.010,-0.655
