TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
817268.000000,-0.002,0.956,-0.158,0.11,0.03,0.03,12.93,-15.73,-6.38,-179.16,80.64,148.74,0.625,0.735,-0.201,-0.169
817278.000000,0.002,0.958,-0.159,-0.05,0.12,0.03,13.02,-15.58,-6.42,-179.16,80.64,148.74,0.625,0.735,-0.201,-0.169
817288.000000,0.002,0.959,-0.163,-0.11,-0.01,0.14,13.06,-15.63,-6.21,-179.17,80.64,148.74,0.625,0.735,-0.201,-0.169
817298.000000,0.001,0.958,-0.159,-0.01,-0.01,0.03,13.13,-15.04,-6.46,-179.17,80.64,148.74,0.625,0.735,-0.201,-0.169
817308.000000,0.001,0.959,-0.159,0.05,-0.05,-0.07,12.98,-15.27,-5.96,-179.17,80.64,148.74,0.625,0.735,-0.201,-0.169
817318.000000,0.003,0.959,-0.156,0.03,0.12,0.05,13.02,-15.27,-5.54,-179.17,80.64,148.74,0.625,0.735,-0.201,-0.169
817328.000000,0.005,0.960,-0.156,0.03,0.03,0.07,13.13,-15.46,-5.54,-179.17,80.64,148.74,0.625,0.735,-0.201,-0.169
817338.000000,0.003,0.958,-0.160,0.03,0.01,0.01,12.98,-15.50,-5.88,-179.17,80.64,148.74,0.625,0.735,-0.201,-0.169
817348.000000,0.003,0.958,-0.158,-0.05,-0.03,-0.01,12.83,-15.54,-5.63,-179.17,80.64,148.74,0.625,0.735,-0.201,-0.169
817358.000000,0.002,0.959,-0.156,-0.01,0.14,-0.01,12.83,-15.54,-5.63,-179.17,80.64,148.74,0.625,0.735,-0.201,-0.169
817368.000000,0.002,0.960,-0.159,0.05,0.03,0.10,12.71,-15.67,-5.50,-179.17,80.65,148.74,0.625,0.735,-0.201,-0.169
817378.000000,0.001,0.958,-0.160,-0.01,0.12,0.01,12.52,-15.67,-5.67,-179.16,80.65,148.74,0.625,0.735,-0.201,-0.169
817388.000000,0.002,0.960,-0.159,0.03,-0.07,-0.05,12.38,-15.63,-5.33,-179.16,80.65,148.74,0.625,0.735,-0.201,-0.169
817398.000000,0.002,0.959,-0.155,0.07,0.09,-0.01,12.75,-15.54,-5.46,-179.16,80.65,148.74,0.625,0.735,-0.201,-0.169
