TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
4010072.000000,-0.006,-0.032,1.009,-0.09,0.03,0.06,-34.83,27.10,-29.58,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010082.000000,-0.003,-0.034,1.002,0.05,0.14,-0.05,-34.68,27.17,-29.38,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010092.000000,-0.003,-0.032,1.006,0.11,-0.01,0.07,-34.88,27.10,-29.54,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010102.000000,-0.005,-0.034,1.010,-0.05,0.05,-0.03,-34.92,26.98,-29.58,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010112.000000,-0.006,-0.035,1.011,0.11,0.05,-0.01,-35.06,26.93,-29.46,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010122.000000,-0.005,-0.031,1.006,0.09,-0.03,0.03,-35.06,26.93,-29.46,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010132.000000,-0.003,-0.036,1.007,0.01,0.12,0.03,-34.92,27.38,-29.88,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010142.000000,-0.006,-0.036,1.011,-0.03,-0.05,-0.07,-34.54,26.83,-29.54,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010152.000000,-0.005,-0.031,1.009,-0.05,0.09,-0.05,-34.64,27.10,-29.88,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010162.000000,-0.003,-0.035,1.003,0.01,0.05,0.10,-34.64,27.10,-29.88,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010172.000000,-0.005,-0.034,1.010,0.05,0.03,-0.07,-34.64,27.10,-29.88,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010182.000000,-0.005,-0.034,1.010,-0.01,0.03,0.12,-35.14,27.29,-29.67,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010192.000000,-0.003,-0.034,1.006,0.01,-0.07,0.01,-35.14,27.29,-29.67,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010202.000000,-0.006,-0.031,1.013,-0.03,-0.01,-0.07,-35.14,27.29,-29.67,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010212.000000,-0.005,-0.032,1.007,-0.01,0.07,0.03,-34.77,27.89,-29.63,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010222.000000,-0.006,-0.034,1.010,0.07,-0.01,0.09,-34.50,27.25,-29.88,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010232.000000,-0.005,-0.034,1.007,-0.01,-0.03,0.01,-35.00,27.33,-29.71,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010242.000000,-0.006,-0.032,1.009,-0.01,0.03,0.01,-34.77,27.38,-29.83,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010252.000000,-0.003,-0.036,1.011,-0.05,0.16,0.06,-35.25,27.25,-29.38,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010262.000000,-0.006,-0.035,1.014,0.03,-0.01,0.03,-34.96,27.21,-29.79,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010272.000000,-0.006,-0.035,1.010,0.07,0.09,0.01,-34.88,27.06,-29.21,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010282.000000,-0.001,-0.034,1.007,0.03,0.14,-0.01,-34.88,26.93,-29.54,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
4010292.000000,-0.005,-0.035,1.009,-0.07,0.01,0.03,-35.00,26.64,-29.46,0.25,-1.93,-130.20,0.421,-0.005,0.016,-0.907
