TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
4636063.000000,-0.997,-0.024,-0.149,-0.01,0.05,0.03,9.77,33.29,1.71,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636073.000000,-0.996,-0.024,-0.152,0.01,-0.01,0.08,9.77,33.33,1.63,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636083.000000,-0.994,-0.023,-0.150,0.03,-0.09,0.07,10.27,34.98,1.38,98.57,-1.37,-90.00,0.455,0.530,0.541,-0.468
4636093.000000,-0.996,-0.023,-0.152,0.07,0.07,0.01,10.18,34.71,1.13,98.57,-1.37,-90.00,0.455,0.530,0.541,-0.468
4636103.000000,-0.996,-0.022,-0.152,-0.05,0.05,0.01,10.50,35.21,1.46,98.57,-1.37,-90.00,0.455,0.530,0.541,-0.468
4636113.000000,-0.994,-0.024,-0.145,0.03,-0.01,-0.01,10.00,34.93,1.67,98.57,-1.37,-90.00,0.455,0.530,0.541,-0.468
4636123.000000,-0.996,-0.024,-0.149,-0.07,0.05,-0.07,10.13,34.98,1.58,98.57,-1.37,-90.00,0.455,0.530,0.541,-0.468
4636133.000000,-0.996,-0.026,-0.150,-0.07,-0.05,-0.07,10.88,33.79,1.42,98.57,-1.37,-90.00,0.455,0.530,0.541,-0.468
4636143.000000,-0.996,-0.024,-0.152,-0.09,0.01,0.01,10.54,33.79,1.54,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636153.000000,-0.994,-0.026,-0.149,-0.07,0.01,-0.01,10.46,33.64,1.33,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636163.000000,-0.997,-0.024,-0.149,-0.03,0.01,-0.07,10.54,33.60,1.00,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636173.000000,-0.993,-0.023,-0.150,0.03,-0.01,0.07,10.88,33.68,1.08,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636183.000000,-0.996,-0.023,-0.150,0.01,-0.07,-0.07,10.54,34.21,1.50,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636193.000000,-0.997,-0.024,-0.147,-0.03,0.16,0.06,10.46,33.64,1.38,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636203.000000,-0.996,-0.023,-0.153,-0.05,0.01,0.14,10.64,33.75,1.33,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636213.000000,-0.997,-0.023,-0.149,-0.03,-0.03,-0.01,10.88,33.64,1.29,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636223.000000,-0.998,-0.024,-0.147,0.07,-0.03,0.01,10.64,33.64,1.50,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636233.000000,-0.994,-0.022,-0.149,-0.09,0.12,-0.01,10.23,33.98,1.46,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636243.000000,-0.997,-0.026,-0.150,0.01,0.09,0.03,10.42,33.75,1.38,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636253.000000,-0.992,-0.027,-0.154,-0.05,0.05,0.01,10.13,33.60,1.21,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636263.000000,-0.998,-0.023,-0.153,0.03,0.01,-0.01,10.50,34.06,1.38,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636273.000000,-0.993,-0.024,-0.150,0.09,-0.05,0.05,10.46,33.79,1.33,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636283.000000,-0.998,-0.022,-0.154,-0.01,0.01,-0.09,9.85,34.06,1.46,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636293.000000,-0.992,-0.024,-0.149,-0.03,0.03,0.01,10.23,33.68,1.46,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636303.000000,-0.996,-0.023,-0.149,0.03,0.01,0.01,9.96,33.83,1.42,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636313.000000,-0.993,-0.024,-0.153,0.07,-0.03,-0.03,9.73,33.88,1.25,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636323.000000,-0.993,-0.024,-0.148,-0.13,0.12,0.02,10.27,34.14,1.54,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636333.000000,-0.994,-0.024,-0.147,0.09,-0.13,0.03,11.10,33.06,1.46,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636343.000000,-0.992,-0.024,-0.153,-0.13,0.05,-0.01,11.18,33.38,1.50,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636353.000000,-0.994,-0.024,-0.149,-0.05,0.16,0.03,11.14,33.33,1.71,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636363.000000,-0.996,-0.023,-0.149,0.09,0.03,0.05,11.14,33.18,1.58,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636373.000000,-0.997,-0.026,-0.152,-0.07,0.03,0.01,11.38,33.46,1.71,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636383.000000,-0.996,-0.024,-0.150,0.05,-0.05,-0.05,11.64,33.83,1.54,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636393.000000,-0.996,-0.023,-0.150,-0.05,0.07,-0.09,11.18,34.43,1.29,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636403.000000,-0.997,-0.027,-0.154,0.03,0.14,0.01,11.56,34.21,1.54,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636413.000000,-0.997,-0.022,-0.150,0.05,-0.03,-0.05,11.10,34.14,1.58,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636423.000000,-0.993,-0.024,-0.148,0.03,0.09,-0.01,11.46,33.83,1.71,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636433.000000,-0.996,-0.026,-0.149,-0.01,0.05,-0.01,10.23,33.79,1.50,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
4636443.000000,-0.996,-0.024,-0.148,-0.01,0.09,0.05,10.27,34.21,1.58,98.57,-1.37,-89.99,0.455,0.530,0.541,-0.468
