seq,orientation,angular velocity,linear acceleration,secs,nsecs
1105262,"(0.01474742591381073, -0.19059301912784576, -0.8961011171340942, 0.4005733132362366)","(0.0004327638598624617, -0.0053429692052304745, 0.010486201383173466)","(0.064300537109375, -0.0681884765625, 0.075067138671875)",1624955780,816801309
1105263,"(0.014758226461708546, -0.1905934363603592, -0.8961017727851868, 0.4005712866783142)","(0.005226456094533205, 0.002646517474204302, 0.0014314496656879783)","(-0.055178833007812504, 0.0179443359375, -0.020635986328125)",1624955780,821792602
1105264,"(0.014772041700780392, -0.19059693813323975, -0.8961020112037659, 0.40056854486465454)","(0.006824353244155645, 0.0005159876891411841, -0.0070906695909798145)","(-0.05009460449218751, 0.07521667480468751, 0.0704315185546875)",1624955780,826725482
1105265,"(0.014775844290852547, -0.19058088958263397, -0.8961052298545837, 0.4005688726902008)","(0.0020306610967963934, -0.0005492772324942052, 0.0024967147037386894)","(-0.040374755859375, -0.029907226562500003, 0.11813354492187501)",1624955780,831722974
1105266,"(0.014775094576179981, -0.19056478142738342, -0.896108090877533, 0.4005700647830963)","(-0.002763030817732215, 0.0015812525525689125, 0.00036618480226024985)","(-0.0115142822265625, -0.020037841796875, 0.17062072753906252)",1624955780,836773872
1105267,"(0.014781782403588295, -0.1905546486377716, -0.8961104154586792, 0.40056952834129333)","(-0.0038282957393676043, -0.0037450718227773905, 0.013681995682418346)","(-0.04007568359375, 0.0088226318359375, 0.1227691650390625)",1624955780,841734409
1105268,"(0.014801634475588799, -0.19055205583572388, -0.8961122035980225, 0.400566041469574)","(-0.007024090271443129, -0.005875601898878813, -0.010286464355885983)","(-0.10676879882812501, 0.018243408203125002, -0.03050537109375)",1624955780,846811532
1105269,"(0.014795494265854359, -0.19053806364536285, -0.8961143493652344, 0.40056806802749634)","(0.004161191172897816, -0.0048103369772434235, 0.0008988172630779445)","(0.017645263671875, -0.02452392578125, 0.16090087890625002)",1624955780,851792573
1105270,"(0.01479595247656107, -0.19051019847393036, -0.8961194753646851, 0.4005698263645172)","(0.007889618165791035, -0.0016145420959219337, -0.0038948748260736465)","(-0.06340332031250001, -0.043215942382812504, 0.117535400390625)",1624955780,856738805
1105271,"(0.014783469960093498, -0.19049790501594543, -0.8961209058761597, 0.40057289600372314)","(0.005759088322520256, 0.002646517474204302, 0.009420935995876789)","(0.036935424804687506, -0.07162780761718751, 0.050543212890625)",1624955780,861728191
1105272,"(0.014784645289182663, -0.19050098955631256, -0.8961204290390015, 0.4005724787712097)","(-0.0032956632785499096, 0.003711782395839691, 0.0024967147037386894)","(0.0034393310546875, 0.0288604736328125, 0.026617431640625)",1624955780,866836071
1105273,"(0.014796463772654533, -0.19048276543617249, -0.896124541759491, 0.4005715250968933)","(-0.002763030817732215, 0.006907577160745859, -0.0006990800611674786)","(-0.08717956542968751, -0.033197021484375006, 0.0934600830078125)",1624955780,871787786
1105274,"(0.014806820079684258, -0.19049131870269775, -0.8961236476898193, 0.40056905150413513)","(0.0030959260184317827, 0.003711782395839691, -0.0070906695909798145)","(-0.024822998046875003, 0.0862823486328125, 0.050393676757812506)",1624955780,876801490
1105275,"(0.014794012531638145, -0.19048333168029785, -0.8961243033409119, 0.40057191252708435)","(0.007356985472142696, -0.008538763970136642, -0.0028296099044382572)","(0.037234497070312504, -0.081048583984375, -0.030953979492187502)",1624955780,892684698
1105276,"(0.014794012531638145, -0.19048333168029785, -0.8961243033409119, 0.40057191252708435)","(0.007356985472142696, -0.008538763970136642, -0.0028296099044382572)","(0.037234497070312504, -0.081048583984375, -0.030953979492187502)",1624955780,893056631
1105277,"(0.014794012531638145, -0.19048333168029785, -0.8961243033409119, 0.40057191252708435)","(0.007356985472142696, -0.008538763970136642, -0.0028296099044382572)","(0.037234497070312504, -0.081048583984375, -0.030953979492187502)",1624955780,893430948
1105278,"(0.014785406179726124, -0.19045323133468628, -0.8961292505264282, 0.4005754590034485)","(-0.011817782185971737, -0.0005492772324942052, 0.0024967147037386894)","(-0.0056823730468750005, 0.010467529296875, 0.1266571044921875)",1624955780,896877765
1105279,"(0.014775183983147144, -0.19045719504356384, -0.8961278796195984, 0.4005770683288574)","(0.0014980287523940206, 0.002113885013386607, -0.0070906695909798145)","(0.0657958984375, 0.024822998046875003, 0.06938476562500001)",1624955780,901783227
1105280,"(0.014795980416238308, -0.19043606519699097, -0.8961330652236938, 0.400574654340744)","(-0.004360928200185299, -0.00907139666378498, 0.0008988172630779445)","(-0.11065673828125001, 0.0441131591796875, 0.2845672607421875)",1624955780,906945466
1105281,"(0.014779402874410152, -0.19043758511543274, -0.8961317539215088, 0.400577574968338)","(-0.005426193121820688, -0.0021471744403243065, -0.0022969774436205626)","(0.090020751953125, -0.0035888671875000003, 0.0644500732421875)",1624955780,911767244
1105282,"(0.014799769967794418, -0.19043567776679993, -0.8961334228515625, 0.4005739688873291)","(-0.00489356042817235, -1.6644764400552958e-05, 0.003561979392543435)","(-0.09151611328125, 0.0680389404296875, 0.0883758544921875)",1624955780,916740655
1105283,"(0.014823674224317074, -0.19043460488319397, -0.896135151386261, 0.4005696475505829)","(0.0014980287523940206, -0.001081909635104239, 0.006225141696631908)","(-0.10063781738281251, 0.096600341796875, 0.1314422607421875)",1624955780,921730279
1105284,"(0.014818312600255013, -0.19041715562343597, -0.8961380124092102, 0.4005717933177948)","(0.0020306610967963934, -0.005875601898878813, 0.009953568689525127)","(-0.0097198486328125, -0.08493652343750001, 0.045159912109375006)",1624955780,926739931
1105285,"(0.01482707355171442, -0.19042275846004486, -0.8961375951766968, 0.4005697965621948)","(-0.005426193121820688, -0.003212439361959696, -0.003362242365255952)","(-0.028710937500000002, -0.032449340820312506, 0.169573974609375)",1624955780,931744098
