seq,orientation,angular velocity,linear acceleration,secs,nsecs
1092926,"(0.045463062822818756, -0.09967462718486786, -0.7287800908088684, 0.6759188771247864)","(0.011385018937289715, 0.008771790191531181, 0.0010319753782823682)","(0.0468048095703125, -0.09031982421875001, -0.379522705078125)",1624948027,952133893
1092927,"(0.045470867305994034, -0.09970223158597946, -0.7287774682044983, 0.6759170889854431)","(-0.0013981601223349571, 0.010369688272476196, 0.0026298726443201303)","(0.0512908935546875, 0.0861328125, -0.226397705078125)",1624948027,957127094
1092928,"(0.04545538127422333, -0.09975743293762207, -0.7287711501121521, 0.6759167909622192)","(-0.007789749652147293, -0.010402977466583252, -0.0010985544649884105)","(0.0599639892578125, 0.11903076171875, -0.0059814453125)",1624948027,962202787
1092929,"(0.045431915670633316, -0.09975798428058624, -0.7287703156471252, 0.675919234752655)","(0.0001997371728066355, -0.015729302540421486, 0.0004993429174646735)","(0.09779663085937501, -0.057720947265625, 0.12306823730468751)",1624948027,967095136
1092930,"(0.045419078320264816, -0.09973325580358505, -0.7287724614143372, 0.6759214401245117)","(-0.008855014108121395, -0.01253350730985403, -0.0016311868093907833)","(-0.031253051757812504, -0.114544677734375, 0.14220886230468752)",1624948027,972182989
1092931,"(0.045411475002765656, -0.09970109164714813, -0.7287755608558655, 0.6759233474731445)","(-0.01577923633158207, -0.011468241922557354, -0.004294348880648613)","(-0.06923522949218751, -0.099591064453125, 0.261688232421875)",1624948027,977146387
1092932,"(0.04540465772151947, -0.09968478232622147, -0.7287769913673401, 0.6759246587753296)","(-0.01364870648831129, -0.005076652858406305, 0.003162505105137825)","(-0.006878662109375, -0.008374023437500001, 0.38595275878906254)",1624948027,982151746
1092933,"(0.04539051651954651, -0.09968465566635132, -0.7287765145301819, 0.675926148891449)","(-0.008855014108121395, 0.0023802013602107763, 0.0026298726443201303)","(0.0695343017578125, 0.0013458251953125, 0.25675354003906253)",1624948027,987104415
1092934,"(0.045393772423267365, -0.09970095753669739, -0.7287749648094177, 0.6759252548217773)","(-0.008322382345795631, 0.007173893041908741, 0.005825667176395655)","(0.064599609375, 0.13503112792968752, 0.29024963378906254)",1624948027,992140769
1092935,"(0.0453847274184227, -0.09968168288469315, -0.7287766337394714, 0.6759268641471863)","(0.0012650020653381944, 0.007706525735557079, -0.004294348880648613)","(-0.021533203125, -0.06549682617187501, 0.2089019775390625)",1624948027,997168540
1092936,"(0.045456528663635254, -0.09971056133508682, -0.7287630438804626, 0.6759324073791504)","(0.03215768560767174, 0.013565482571721077, 0.0036951375659555197)","(0.012710571289062502, 0.0001495361328125, -0.039776611328125)",1624948028,2156257
1092937,"(0.045541126281023026, -0.09975221753120422, -0.7287579774856567, 0.6759260296821594)","(0.029494522139430046, 0.014630747959017754, -0.0026964517310261726)","(-0.024972534179687502, 0.06056213378906251, -0.2785858154296875)",1624948028,7106304
1092938,"(0.045548565685749054, -0.09975054115056992, -0.7287584543228149, 0.6759253144264221)","(0.022570298984646797, 0.0018475687829777598, -0.0026964517310261726)","(-0.043963623046875004, -0.0064300537109375005, -0.11589050292968751)",1624948028,12131929
1092939,"(0.04555278643965721, -0.09976498782634735, -0.7287570834159851, 0.6759243607521057)","(0.00818922370672226, 0.0007823039195500314, 0.006358299870043993)","(0.0133087158203125, 0.0076263427734375, -0.2929412841796875)",1624948028,17149686
1092940,"(0.045549891889095306, -0.09977148473262787, -0.7287562489509583, 0.6759244203567505)","(-0.007257116958498955, -0.0013482258655130863, -0.01228383556008339)","(0.0179443359375, -0.030654907226562503, -0.20680847167968752)",1624948028,22144794
1092941,"(0.04551698639988899, -0.09975191950798035, -0.7287581562995911, 0.6759275197982788)","(-0.026964517310261726, -0.004011387936770916, 0.0020972401835024357)","(0.0034393310546875, 0.10886230468750001, -0.0490478515625)",1624948028,37199974
1092942,"(0.04551698639988899, -0.09975191950798035, -0.7287581562995911, 0.6759275197982788)","(-0.026964517310261726, -0.004011387936770916, 0.0020972401835024357)","(0.0034393310546875, 0.10886230468750001, -0.0490478515625)",1624948028,37536621
1092943,"(0.04551698639988899, -0.09975191950798035, -0.7287581562995911, 0.6759275197982788)","(-0.026964517310261726, -0.004011387936770916, 0.0020972401835024357)","(0.0034393310546875, 0.10886230468750001, -0.0490478515625)",1624948028,37820577
1092944,"(0.04551970958709717, -0.09974081814289093, -0.7287594079971313, 0.6759276390075684)","(0.01830924116075039, -0.01253350730985403, -0.008022775873541832)","(-0.1160400390625, 0.0370849609375, 0.2524169921875)",1624948028,42134523
1092945,"(0.04553268477320671, -0.09972457587718964, -0.7287615537643433, 0.6759268045425415)","(0.017243975773453712, -0.005609285552054644, 0.0020972401835024357)","(-0.09166564941406251, 0.032449340820312506, 0.2428466796875)",1624948028,47142744
1092946,"(0.04551756754517555, -0.09970702230930328, -0.7287628650665283, 0.6759290099143982)","(0.010852386243641376, -0.001880858326330781, 0.0036951375659555197)","(0.0040374755859375, -0.09151611328125, 0.1565643310546875)",1624948028,52146196
1092947,"(0.04551234841346741, -0.099707692861557, -0.7287626266479492, 0.6759295463562012)","(-0.002996057504788041, 0.008771790191531181, -0.005892246495932341)","(0.023028564453125, -0.010168457031250001, 0.036935424804687506)",1624948028,57119369
1092948,"(0.04552720487117767, -0.09971384704113007, -0.7287625074386597, 0.6759277582168579)","(-0.006724484730511904, 0.015163379721343517, 0.005293034948408604)","(-0.0438140869140625, 0.051739501953125, -0.11140441894531251)",1624948028,62104940
1092949,"(0.04555284604430199, -0.0996764749288559, -0.7287655472755432, 0.6759282350540161)","(-0.011518176645040512, 0.02208760194480419, -0.0026964517310261726)","(0.0145050048828125, 0.04725341796875, -0.14968566894531252)",1624948028,67123651
1092950,"(0.045557573437690735, -0.09970013052225113, -0.7287632822990417, 0.675926923751831)","(-0.006724484730511904, 0.018359174951910973, -0.0005659219459630549)","(0.0572723388671875, 0.08508605957031251, -0.10661926269531251)",1624948028,72149038
1092951,"(0.04555518180131912, -0.09973090887069702, -0.7287599444389343, 0.6759260892868042)","(0.013515548780560493, 0.0018475687829777598, 0.004760402720421553)","(-0.00059814453125, -0.020635986328125, -0.0825439453125)",1624948028,77134370
1092952,"(0.045566655695438385, -0.0997270941734314, -0.7287607789039612, 0.6759250164031982)","(0.014580813236534595, 0.00024967145873233676, -0.002163819270208478)","(-0.06250610351562501, 0.012860107421875001, -0.05383300781250001)",1624948028,82183361
1092953,"(0.04554600268602371, -0.09972568601369858, -0.7287601828575134, 0.6759272217750549)","(0.00712395878508687, -0.01732719875872135, 0.0020972401835024357)","(0.07117919921875, -0.0825439453125, -0.0059814453125)",1624948028,87099075
1092954,"(0.0455254390835762, -0.09970679134130478, -0.7287614345550537, 0.6759300827980042)","(-0.0013981601223349571, -0.005076652858406305, -0.008022775873541832)","(0.01854248046875, -0.12037658691406251, 0.1374237060546875)",1624948028,92159032
1092955,"(0.04546879231929779, -0.09969677776098251, -0.728770911693573, 0.6759251356124878)","(-0.016311869025230408, -0.019990362226963043, -0.0016311868093907833)","(-0.0396270751953125, -0.028561401367187503, 0.127703857421875)",1624948028,97159147
1092956,"(0.04541115462779999, -0.09965182840824127, -0.7287845611572266, 0.6759209632873535)","(-0.020572928711771965, -0.015196669846773148, -0.0026964517310261726)","(-0.09719848632812501, -0.098992919921875, 0.22310791015625)",1624948028,102146387
1092957,"(0.045381098985672, -0.09962472319602966, -0.7287911772727966, 0.6759198307991028)","(-0.020040296018123627, -0.013598771765828133, 0.0010319753782823682)","(-0.1212738037109375, 0.0740203857421875, 0.2660247802734375)",1624948028,107187986
1092958,"(0.04537021368741989, -0.09960301220417023, -0.7287930250167847, 0.6759217381477356)","(-0.005126587115228176, -0.0029461232479661703, 0.012749888934195042)","(-0.015850830078125003, -0.059515380859375, 0.3138763427734375)",1624948028,112151384
1092959,"(0.04537021368741989, -0.09960301220417023, -0.7287930250167847, 0.6759217381477356)","(-0.005126587115228176, -0.0029461232479661703, 0.012749888934195042)","(-0.015850830078125003, -0.059515380859375, 0.3138763427734375)",1624948028,117166996
1092960,"(0.045416973531246185, -0.09957204759120941, -0.7287979125976562, 0.67591792345047)","(0.016178710386157036, 0.013565482571721077, -3.3289528801105917e-05)","(-0.057870483398437506, 0.06474914550781251, 0.031402587890625)",1624948028,122123241
1092961,"(0.045439790934324265, -0.09958565980195999, -0.7287972569465637, 0.6759150624275208)","(0.017243975773453712, 0.007706525735557079, 0.008488829247653484)","(-0.048150634765625006, 0.10736694335937501, -0.12157287597656251)",1624948028,127161502
1092962,"(0.04544571787118912, -0.09960784763097763, -0.7287951707839966, 0.6759136319160461)","(0.009254489094018936, 0.014098115265369415, -0.0010985544649884105)","(0.0330474853515625, 0.039926147460937506, -0.31282958984375003)",1624948028,132149934
1092963,"(0.04550283029675484, -0.09966985881328583, -0.728786051273346, 0.675910472869873)","(0.027363991364836693, 0.008239158429205418, -0.0005659219459630549)","(0.07611389160156251, 0.06699218750000001, -0.27903442382812504)",1624948028,137181758
1092964,"(0.04551011696457863, -0.09971492737531662, -0.7287816405296326, 0.6759081482887268)","(0.008721856400370598, 0.003445466049015522, -0.0010985544649884105)","(0.113946533203125, 0.14774169921875002, -0.2501739501953125)",1624948028,142092227
1092965,"(0.0455147847533226, -0.09971761703491211, -0.728781521320343, 0.675907552242279)","(0.0039281644858419895, -0.0008155934046953917, 0.007423564791679382)","(-0.015252685546875, 0.0088226318359375, -0.0779083251953125)",1624948028,147079467
1092966,"(0.045539263635873795, -0.09973867982625961, -0.7287801504135132, 0.6759042739868164)","(-0.0024634250439703465, -0.009870344772934914, 0.0020972401835024357)","(-0.024822998046875003, 0.1517791748046875, -0.0777587890625)",1624948028,152181148
1092967,"(0.04546993970870972, -0.0996917113661766, -0.7287826538085938, 0.6759131550788879)","(-0.004593954887241125, -0.009870344772934914, -0.005359613802284002)","(-0.0059814453125, -0.1912567138671875, 0.26647338867187503)",1624948028,157153129
1092968,"(0.045453138649463654, -0.09968206286430359, -0.7287830710411072, 0.6759152412414551)","(-0.012583441101014614, -0.01785983145236969, 0.003162505105137825)","(0.0512908935546875, -0.02811279296875, 0.33825073242187503)",1624948028,162110567
1092969,"(0.04541892930865288, -0.09968455880880356, -0.7287816405296326, 0.6759187579154968)","(-0.015246603637933731, -0.009870344772934914, -3.3289528801105917e-05)","(0.16568603515625002, -0.027813720703125003, 0.40987854003906254)",1624948028,167115926
1092970,"(0.04540793597698212, -0.09966060519218445, -0.7287837862968445, 0.6759207248687744)","(0.003395531792193651, -0.0029461232479661703, 0.0036951375659555197)","(-0.0112152099609375, -0.032000732421875004, 0.4864410400390625)",1624948028,172143220
1092971,"(0.045399732887744904, -0.0996420681476593, -0.7287853956222534, 0.6759222149848938)","(-0.01045291218906641, -0.0024134907871484756, -0.002163819270208478)","(-0.0207855224609375, -0.055627441406250006, 0.22789306640625)",1624948028,177126884
1092972,"(0.045397352427244186, -0.09963425248861313, -0.7287861704826355, 0.6759227514266968)","(-0.004061322193592787, 0.007706525735557079, 0.004760402720421553)","(-0.001495361328125, 0.0162994384765625, 0.27095947265625003)",1624948028,182154655
1092973,"(0.04539879411458969, -0.09963483363389969, -0.7287861108779907, 0.6759225726127625)","(-0.0019307925831526518, 0.015163379721343517, 0.0010319753782823682)","(-0.001495361328125, 0.0162994384765625, 0.05084228515625001)",1624948028,187107086
1092974,"(0.04538460075855255, -0.09965436905622482, -0.7287836074829102, 0.6759233474731445)","(0.012450283393263817, 0.013032849878072739, -0.005359613802284002)","(0.11289978027343751, -0.00299072265625, -0.12620849609375)",1624948028,192133903
1092975,"(0.04544447734951973, -0.09966778755187988, -0.7287779450416565, 0.6759234666824341)","(0.00552606163546443, 0.023685500025749207, -0.0010985544649884105)","(0.0943572998046875, 0.110955810546875, -0.2696136474609375)",1624948028,197151899
1092976,"(0.045445650815963745, -0.09970242530107498, -0.72877436876297, 0.675922155380249)","(-0.008322382345795631, 0.012500218115746975, -0.002163819270208478)","(0.10347900390625, 0.09615173339843751, -0.197686767578125)",1624948028,202123403
1092977,"(0.04545750841498375, -0.09970850497484207, -0.7287741303443909, 0.6759207248687744)","(-0.01045291218906641, 0.00504336366429925, -0.0032290841918438673)","(-0.0351409912109375, 0.0336456298828125, -0.145050048828125)",1624948028,207228183
1092978,"(0.04546935483813286, -0.09971815347671509, -0.7287735342979431, 0.6759191155433655)","(-0.01045291218906641, -0.0024134907871484756, -0.0016311868093907833)","(-0.016000366210937502, 0.0668426513671875, -0.0539825439453125)",1624948028,212120771
